id,tamano_um,crecimiento_hora,clase
1,1.83,15.13,0
2,5.17,30.75,1
3,4.95,25.02,0
4,5.39,30.03,1
5,1.66,18.45,0
6,4.9,30.82,1
7,2.61,21.52,0
8,9.41,40.22,1
9,8.81,36.61,1
10,2.43,8.45,0
11,5.46,28.51,1
12,8.49,33.16,1
13,4.18,16.57,0
14,8.07,38.68,1
15,7.26,38.62,1
16,5.18,23.74,0
17,1.85,20.73,0
18,4.3,20.91,0
19,8.13,42.92,1
20,7.87,37.63,1
21,4.25,22.93,0
22,4.29,21.9,0
23,8.22,34.77,1
24,8.86,39.05,1
25,6.34,32.71,1
26,4.53,25.35,0
27,4.43,25.21,0
28,5.52,31.86,1
29,5.5,28.89,1
30,7.43,37.17,1
31,2.29,22.78,0
32,8.68,34.16,1
33,5.93,41.08,1
34,1.94,11.35,0
35,6.54,43.78,1
36,7.58,42.49,1
37,2.51,20.92,0
38,2.05,21.48,0
39,9.0,39.68,1
40,8.99,37.87,1
41,2.02,16.22,0
42,8.29,40.8,1
43,7.97,35.93,1
44,1.5,9.91,0
45,3.22,8.12,0
46,5.01,28.12,1
47,3.75,10.86,0
48,3.26,22.08,0
49,1.8,9.8,0
50,5.86,34.85,1
51,1.43,14.31,0
52,9.27,37.69,1
53,4.74,25.4,0
54,7.51,36.71,1
55,1.74,15.58,0
56,8.32,32.77,1
57,3.08,22.81,0
58,1.78,8.48,0
59,3.99,21.19,0
60,2.07,20.72,0
61,1.37,17.41,0
62,5.64,42.26,1
63,4.71,25.39,0
64,4.03,11.69,0
65,4.03,17.19,0
66,6.13,37.35,1
67,1.53,21.95,0
68,5.22,29.03,1
69,7.83,34.27,1
70,5.09,25.14,0
71,3.99,20.47,0
72,3.98,11.95,0
73,1.68,8.37,0
74,1.34,12.17,0
75,8.91,37.37,1
76,8.81,43.73,1
77,4.65,22.41,0
78,3.16,11.96,0
79,6.18,43.61,1
80,4.91,31.3,1
81,3.89,9.09,0
82,5.55,28.47,1
83,6.03,38.05,1
84,7.93,31.3,1
85,5.65,38.51,1
86,2.84,10.08,0
87,6.33,36.06,1
88,2.66,21.58,0
89,3.65,15.96,0
90,8.75,41.45,1
91,3.73,20.96,0
92,1.46,9.73,0
93,2.16,10.33,0
94,3.29,11.37,0
95,2.82,22.6,0
96,4.51,22.13,0
97,3.07,10.29,0
98,2.45,8.15,0
99,1.36,16.3,0
100,3.28,12.5,0
101,4.45,23.9,0
102,4.03,9.3,0
103,9.29,31.61,1
104,2.55,14.35,0
105,5.87,39.84,1
106,5.1,25.83,0
107,6.79,37.9,1
108,2.26,11.14,0
109,3.74,18.95,0
110,1.58,18.94,0
111,9.37,42.26,1
112,1.36,14.38,0
113,2.24,9.05,0
114,5.16,23.9,0
115,8.19,42.49,1
116,4.67,26.04,0
117,1.25,14.87,0
118,5.02,22.13,0
119,6.46,31.89,1
120,5.42,31.24,1
121,5.13,28.05,1
122,3.44,11.05,0
123,3.23,13.93,0
124,4.82,25.74,0
125,6.02,34.27,1
126,3.68,9.62,0
127,4.2,18.16,0
128,1.33,14.47,0
129,1.78,21.58,0
130,5.74,38.03,1
131,3.94,22.64,0
132,1.31,8.71,0
133,8.99,35.6,1
134,7.81,42.1,1
135,5.25,26.11,0
136,9.37,43.04,1
137,5.12,31.11,1
138,2.08,19.28,0
139,4.79,24.82,0
140,2.54,22.31,0
141,9.28,38.01,1
142,6.15,44.25,1
143,6.17,38.44,1
144,4.36,17.6,0
145,3.88,9.38,0
146,7.0,36.57,1
147,6.68,42.06,1
148,3.6,15.82,0
149,1.92,12.8,0
150,1.09,10.98,0
151,1.56,13.69,0
152,7.18,38.2,1
153,6.58,33.44,1
154,5.38,30.08,1
155,3.89,10.49,0
156,5.25,22.91,0
157,3.78,12.49,0
158,1.72,22.14,0
159,6.5,40.9,1
160,6.7,35.18,1
161,7.54,43.66,1
162,7.51,41.61,1
163,2.99,18.43,0
164,8.27,41.43,1
165,5.73,31.23,1
166,5.63,31.13,1
167,4.34,16.04,0
168,6.86,44.58,1
169,1.79,18.41,0
170,5.98,39.87,1
171,7.05,37.21,1
172,7.63,37.41,1
173,3.59,16.09,0
174,2.29,16.28,0
175,4.41,26.74,0
176,5.04,26.14,0
177,2.39,16.14,0
178,7.51,42.1,1
179,4.06,11.15,0
180,3.98,12.72,0
181,3.21,16.17,0
182,5.51,29.38,1
183,7.49,41.14,1
184,8.21,41.4,1
185,8.82,37.75,1
186,5.61,30.0,1
187,5.17,28.19,1
188,8.18,44.07,1
189,8.34,37.36,1
190,6.25,35.31,1
191,5.92,39.52,1
192,8.42,36.74,1
193,3.91,19.48,0
194,3.65,21.26,0
195,3.48,18.1,0
196,7.74,43.99,1
197,5.23,22.43,0
198,7.03,42.07,1
199,6.34,40.76,1
200,9.17,33.54,1
201,5.17,30.93,1
202,7.37,35.4,1
203,8.08,39.69,1
204,1.87,18.63,0
205,2.76,8.75,0
206,8.52,38.97,1
207,8.31,43.65,1
208,8.29,40.04,1
209,2.57,12.58,0
210,9.0,37.21,1
211,7.67,36.96,1
212,6.07,44.62,1
213,8.77,38.7,1
214,8.92,43.03,1
215,5.2,30.2,1
216,7.88,39.89,1
217,7.43,44.57,1
218,6.32,31.72,1
219,7.64,37.31,1
220,3.4,8.69,0
221,5.72,27.9,1
222,6.53,35.53,1
223,5.05,25.91,0
224,3.78,19.27,0
225,5.25,25.0,0
226,3.83,18.55,0
227,6.28,32.85,1
228,8.49,38.37,1
229,7.43,40.12,1
230,5.58,30.05,1
231,4.39,22.94,0
232,7.67,43.79,1
233,9.15,32.03,1
234,5.79,39.49,1
235,8.18,33.2,1
236,1.19,16.76,0
237,8.51,37.67,1
238,6.09,38.9,1
239,5.22,27.93,1
240,2.84,19.22,0
241,1.65,14.73,0
242,3.15,13.03,0
243,2.89,18.27,0
244,4.61,25.99,0
245,7.08,35.43,1
246,3.97,20.88,0
247,3.02,22.25,0
248,4.25,13.05,0
249,4.67,26.26,0
250,3.27,22.82,0
251,4.35,9.48,0
252,7.75,32.3,1
253,4.39,15.94,0
254,3.76,12.0,0
255,8.65,43.14,1
256,4.96,23.09,0
257,5.11,24.18,0
258,5.25,26.77,0
259,1.29,15.73,0
260,7.75,38.61,1
261,3.76,21.22,0
262,1.77,12.34,0
263,9.47,43.78,1
264,6.22,37.18,1
265,2.36,8.88,0
266,4.07,16.18,0
267,3.82,17.28,0
268,8.51,37.08,1
269,9.4,38.75,1
270,5.44,27.62,1
271,3.93,11.73,0
272,4.62,23.1,0
273,2.43,21.57,0
